"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"WINDEV2106EVAL","\OneDrive Standalone Update Task-S-1-5-21-2571796958-2157856695-2502476189-1001","8/10/2021 12:09:30 PM","Ready","Interactive only","11/30/1999 12:00:00 AM","267011","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","User","Disabled","24:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","12:00:00 PM","5/1/1992","N/A","N/A","N/A","24 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"WINDEV2106EVAL","\spawn","8/10/2021 9:00:00 PM","Ready","Interactive only","11/30/1999 12:00:00 AM","267011","WINDEV2106EVAL\User","#{cmd.exe} ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","User","Disabled","72:00:00","Scheduling data is not available in this format.","One Time Only","9:00:00 PM","8/10/2021","N/A","N/A","N/A","Disabled","Disabled","Disabled","Disabled"
"WINDEV2106EVAL","\T1053_005_OnLogon","N/A","Ready","Interactive only","11/30/1999 12:00:00 AM","267011","WINDEV2106EVAL\User","cmd.exe /c calc.exe","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","User","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"WINDEV2106EVAL","\T1053_005_WMI","N/A","Ready","Interactive/Background","11/30/1999 12:00:00 AM","267011","AtomicRedTeam","notepad.exe ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Users","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"WINDEV2106EVAL","\Microsoft\VisualStudio\VSIX Auto Update","8/11/2021 5:16:04 AM","Ready","Interactive/Background","8/10/2021 12:59:44 PM","0","Microsoft VisualStudio","C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\VSIXAutoUpdate.exe ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","5:16:04 AM","6/14/2021","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"WINDEV2106EVAL","\Microsoft\VisualStudio\Updates\UpdateConfiguration_S-1-5-21-2571796958-2157856695-2502476189-1001","N/A","Ready","Interactive only","8/10/2021 1:10:26 PM","0","Microsoft Visual Studio","C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\VSIXConfigurationUpdater.exe ","N/A","N/A","Enabled","Disabled","","User","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"WINDEV2106EVAL","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319","N/A","Ready","Interactive/Background","8/10/2021 1:18:46 PM","-2147020576","N/A","COM handler","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","02:00:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"WINDEV2106EVAL","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64","N/A","Ready","Interactive/Background","8/10/2021 1:18:46 PM","-2147023829","N/A","COM handler","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","02:00:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"WINDEV2106EVAL","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical","N/A","Disabled","Interactive/Background","6/14/2021 1:27:12 AM","0","N/A","COM handler","N/A","N/A","Disabled","Disabled","","SYSTEM","Disabled","02:00:00","Scheduling data is not available in this format.","At idle time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
