"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"WINDEV2106EVAL","\AtomicTask","N/A","Ready","Interactive/Background","8/18/2021 12:04:33 AM","0","N/A","calc.exe ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Administrators","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"WINDEV2106EVAL","\AtomicTaskT1053Test4","N/A","Ready","Interactive/Background","8/18/2021 12:04:33 AM","0","N/A","calc.exe ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Administrators","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"WINDEV2106EVAL","\MicrosoftEdgeUpdateTaskMachineCore","8/19/2021 12:11:08 AM","Ready","Interactive/Background","8/18/2021 12:11:08 AM","0","N/A","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe /c","N/A","Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself wh","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"WINDEV2106EVAL","\MicrosoftEdgeUpdateTaskMachineCore","8/19/2021 12:11:08 AM","Ready","Interactive/Background","8/18/2021 12:11:08 AM","0","N/A","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe /c","N/A","Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself wh","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","12:11:08 AM","8/18/2021","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"WINDEV2106EVAL","\MicrosoftEdgeUpdateTaskMachineUA","8/18/2021 1:41:08 AM","Ready","Interactive/Background","8/18/2021 1:06:12 AM","0","N/A","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe /ua /installsource scheduler","N/A","Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself wh","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","11:41:08 PM","8/17/2021","N/A","Every 1 day(s)","N/A","1 Hour(s), 0 Minute(s)","None","24 Hour(s), 0 Minute(s)","Disabled"
"WINDEV2106EVAL","\OneDrive Standalone Update Task-S-1-5-21-2571796958-2157856695-2502476189-1001","8/18/2021 10:23:16 AM","Ready","Interactive only","8/17/2021 11:35:22 PM","-2147023829","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","User","Disabled","24:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","8:00:00 AM","5/1/1992","N/A","N/A","N/A","24 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"WINDEV2106EVAL","\spawn","N/A","Ready","Interactive only","8/12/2021 2:35:15 AM","-2147020576","WINDEV2106EVAL\User","#{cmd.exe} ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","User","Disabled","72:00:00","Scheduling data is not available in this format.","One Time Only","9:00:00 PM","8/10/2021","N/A","N/A","N/A","Disabled","Disabled","Disabled","Disabled"
"WINDEV2106EVAL","\T1053_005_OnLogon","N/A","Ready","Interactive only","8/18/2021 12:04:33 AM","0","WINDEV2106EVAL\User","cmd.exe /c calc.exe","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","User","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"WINDEV2106EVAL","\T1053_005_OnStartup","N/A","Ready","Interactive/Background","8/18/2021 12:03:12 AM","0","WINDEV2106EVAL\User","cmd.exe /c calc.exe","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
